Unit_Name,Designation,State,Region,NPS_Fee_Acres,NPS_Less_Than_Fee_Acres,Other_Federal_Fee_Acres,Subtotal_Federal_Acres,Other_Public_Acres,Private_Acres,Subtotal_Non_Federal_Acres,Gross_Area_Acres
KALOKO-HONOKOHAU NHP,National Historical Park,HI,Pacific West,615.9,0.0,0.0,615.9,518.83,28.32,547.15,1163.05
KATMAI NP,National Park,AK,Alaska,3611536.5,20.43,7.5,3611564.43,50172.0,12792.9,62964.9,3674529.33
KATMAI N PRESERVE,National Preserve,AK,Alaska,333400.98,0.0,0.0,333400.98,76881.0,8416.82,85297.82,418698.8
MESA VERDE NP,National Park,CO,Intermountain,52253.29,0.0,0.0,52253.29,41.01,190.87,231.88,52485.17
MARTIN VAN BUREN NHS,National Historic Site,NY,Northeast,44.53,7.64,0.0,52.17,0.24,232.52,232.76,284.93
MINUTE MAN NHP,National Historical Park,MA,Northeast,787.69,7.47,6.78,801.94,125.53,100.29,225.82,1027.76
MINIDOKA NHS,National Historic Site,ID,Pacific West,299.79,88.51,0.0,388.3,8.0,0.0,8.0,396.3
MARSH-BILLINGS-ROCKEFELLER N,Other Designation,VT,Northeast,555.07,0.0,0.0,555.07,0.0,88.0,88.0,643.07
MARTIN L KING JR NHS,National Historic Site,GA,Southeast,13.62,0.0,0.0,13.62,10.22,14.86,25.08,38.7
MARTIN L KING JR MEMORIAL,Memorial,DC,National Capital,2.74,0.0,0.0,2.74,0.0,0.0,0.0,2.74
MINUTEMAN MISSILE NHS,National Historic Site,SD,Midwest,39.22,0.93,0.0,40.15,0.0,3.65,3.65,43.8
MONTEZUMA CASTLE NM,National Monument,AZ,Intermountain,998.69,0.0,0.0,998.69,0.0,16.83,16.83,1015.52
MISSOURI N REC RIVER,National River,SD-NE,Midwest,307.68,1.1,0.0,308.78,0.0,48147.77,48147.77,48456.55
MISSISSIPPI N RVR & RA,National River,MN,Midwest,62.42,0.0,0.0,62.42,0.0,53712.58,53712.58,53775.0
MONOCACY NB,National Battlefield,MD,National Capital,1354.87,195.37,0.0,1550.24,51.82,44.95,96.77,1647.01
MOJAVE NATIONAL PRESERVE,National Preserve,CA,Pacific West,1478985.25,0.0,0.0,1478985.25,43555.02,20235.53,63790.55,1542775.8
LITTLE BIGHORN BATTLEFLD,National Battlefield,MT,Intermountain,765.34,0.0,0.0,765.34,0.0,0.0,0.0,765.34
LINCOLN MEMORIAL,Memorial,DC,National Capital,7.29,0.0,0.0,7.29,0.0,0.0,0.0,7.29
LITTLE ROCK CENTRAL HS NH,National Historic Site,AR,Midwest,2.22,0.0,0.0,2.22,24.91,0.15,25.06,27.28
LITTLE RIVER CANYON,Other Designation,AL,Southeast,11130.11,0.0,13.33,11143.44,3287.87,857.22,4145.09,15288.53
LEWIS AND CLARK NHP,National Historical Park,OR-WA,Pacific West,2729.32,0.0,0.0,2729.32,273.4,407.43,680.83,3410.15
MANZANAR NHS,National Historic Site,CA,Pacific West,813.81,0.0,0.0,813.81,0.0,0.0,0.0,813.81
LINCOLN HOME NHS,National Historic Site,IL,Midwest,12.03,0.0,0.0,12.03,0.0,0.21,0.21,12.24
LINCOLN BOYHOOD NMEM,Memorial,IN,Midwest,185.68,0.0,0.0,185.68,6.38,7.9,14.28,199.96
